QKEY,INTERVIEW_START_W147,INTERVIEW_END_W147,DEVICE_TYPE_W147,LANG_W147,XPANEL_W147,XATPSAMPLE_W147,SATLIFE_MOD_a_W147,SATLIFE_MOD_b_W147,SATLIFE_MOD_c_W147,SATLIFE_MOD_d_W147,SATLIFE_MOD_f_W147,EVERPAR_W147,DOV_KP_ELIGIBLE_W147,HAVEKIDS1_W147,MARITALMOD_W147,COMMREL_W147,LWPREL_W147,SEEKING_W147,LIVARRANG_W147,LIVINGPAR_W147,SIBLIV_W147,FAMKIDS_W147,EMPLSIT_W147,IMPACTGOALS_a_W147,IMPACTGOALS_b_W147,IMPACTGOALS_c_W147,IMPACTGOALS_d_W147,IMPACTGOALS_e_W147,WORRY_FUTR_a_W147,WORRY_FUTR_b_W147,WORRY_FUTR_c_W147,WORRY_FUTR_d_W147,KIDSEVER_W147,RSNNOCHLD_S1_a_W147,RSNNOCHLD_S1_b_W147,RSNNOCHLD_S1_c_W147,RSNNOCHLD_S1_d_W147,RSNNOCHLD_S1_e_W147,RSNNOCHLD_S1_f_W147,RSNNOCHLD_S1_g_W147,RSNNOCHLD_S1_h_W147,RSNNOCHLD_S1_i_W147,RSNNOCHLD_S1_j_W147,RSNNOCHLD_S1_k_W147,RSNNOCHLD_S2_a_W147,RSNNOCHLD_S2_b_W147,RSNNOCHLD_S2_c_W147,RSNNOCHLD_S2_d_W147,RSNNOCHLD_S2_e_W147,RSNNOCHLD_S2_f_W147,RSNNOCHLD_S2_g_W147,RSNNOCHLD_S2_h_W147,RSNNOCHLD_S2_i_W147,RSNNOCHLD_S2_j_W147,IMPACTLIFE_a_W147,IMPACTLIFE_b_W147,IMPACTLIFE_c_W147,IMPACTLIFE_d_W147,IMPACTLIFE_e_W147,IMPACTLIFE_f_W147,WORKNOKID_a_W147,WORKNOKID_b_W147,WORKNOKID_c_W147,WORKNOKID_d_W147,WORKNOKID_e_W147,RELNOKID_a_W147,RELNOKID_b_W147,RELNOKID_c_W147,RELNOKID_d_W147,PRESNOKID_a_W147,PRESNOKID_b_W147,PRESNOKID_c_W147,PRESNOKID_d_W147,CAREPAR1_W147,CAREPAR2_a_W147,CAREPAR2_b_W147,CAREPAR2_c_W147,CAREPAR2_d_W147,CAREPAR2_e_W147,TALK_KIDS_a_W147,TALK_KIDS_b_W147,TALK_KIDS_c_W147,FRNDKIDS_W147,IMPCTDATE_W147,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_RELIG,F_RELIGCAT1,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W147_UNDER50,WEIGHT_W147_50PLUS
150,2024-04-29T19:55:09Z,2024-04-29T20:01:29Z,1,1,1,,5,2,1,6,5,2,1,,4,2,,,1,2,2,2,4,3,3,3,2,2,3,1,2,3,1,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,2,3,6,3,2,6,,,,,,,3,,3,5,5,5,5,,,,,,,,,,,,1,3,7,2,3,1,2,4,2,1,2,2,1,1,1,2,,2,4,1,1,4,1,2,1,,0.5286627785422608
153,2024-04-29T20:01:34Z,2024-04-29T20:08:15Z,2,1,1,,1,1,1,1,6,2,1,,5,2,,,1,2,1,4,1,1,1,3,2,1,1,1,3,5,2,3,3,3,1,3,3,1,1,1,1,3,,,,,,,,,,,1,1,1,1,1,3,1,2,1,1,2,,4,,3,5,3,4,3,,,,,,,,,,,,1,1,2,2,4,1,1,5,2,1,2,2,1,12,3,2,,2,3,1,9,3,1,2,3,,0.6790839738097862
157,2024-04-29T20:06:18Z,2024-04-29T20:49:43Z,1,1,1,,2,2,4,2,6,2,1,,5,2,,,2,1,2,1,2,3,3,3,2,3,3,2,3,3,1,3,1,1,3,3,3,3,3,3,3,1,,,,,,,,,,,3,3,3,1,1,3,2,2,2,2,2,,1,4,1,5,5,5,5,3,,,,,,,,,,,1,4,9,2,3,1,2,3,1,1,1,3,1,2,2,3,1,1,1,1,7,2,2,1,2,,0.5165167530019135
158,2024-04-29T20:07:02Z,2024-04-29T20:22:37Z,2,1,1,,1,2,3,2,1,2,1,,1,,,,,1,2,2,1,1,1,1,2,1,3,2,3,1,1,3,1,3,2,1,1,3,1,1,1,2,,,,,,,,,,,3,1,1,3,1,3,1,1,1,1,2,1,1,3,3,5,5,4,4,2,,,,,,,,,,,1,3,7,1,3,1,2,3,1,1,1,3,1,1,1,4,99,9,9,3,2,99,1,1,2,,0.5645024231941018
161,2024-04-29T20:15:24Z,2024-04-29T20:26:48Z,2,1,1,,4,4,5,4,4,2,1,,1,,,,,1,1,3,2,3,3,3,3,3,3,2,2,3,1,2,2,1,3,3,3,3,2,2,2,1,,,,,,,,,,,7,7,7,7,7,4,2,2,2,2,1,4,4,3,3,5,5,5,5,2,,,,,,,,,,,1,3,5,1,3,1,1,5,1,3,1,3,4,1,1,2,,2,3,1,1,3,1,2,1,,0.486685539766596
165,2024-04-29T20:17:48Z,2024-04-29T20:35:13Z,3,1,1,,2,4,3,6,6,2,1,,3,2,,,1,2,2,2,4,3,3,3,2,3,4,3,4,5,1,3,3,3,3,3,3,3,3,3,3,2,,,,,,,,,,,7,7,6,7,7,7,,,,,,,3,,3,4,3,4,5,,,,,,,,,,,,2,3,7,2,4,2,3,2,2,1,2,2,1,1,1,2,,2,3,1,1,3,1,2,1,,0.4614244996062475
167,2024-04-29T20:20:44Z,2024-04-29T20:40:29Z,3,1,1,,3,2,2,2,2,2,1,,1,,,,,1,1,2,1,3,1,3,2,3,4,4,4,4,1,1,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,2,3,3,2,2,3,2,2,1,2,2,3,3,3,3,4,4,5,5,3,,,,,,,,,,,1,1,2,1,3,1,1,5,1,1,1,3,1,2,2,1,,1,1,1,9,2,1,2,3,,1.1914225873987945
169,2024-04-29T20:30:59Z,2024-04-29T20:37:49Z,1,1,1,,3,3,2,3,6,2,1,,5,2,,,1,2,2,2,1,1,2,1,2,2,4,4,3,5,2,3,3,3,3,3,3,2,3,3,1,3,,,,,,,,,,,1,1,1,4,1,3,1,1,1,2,1,,3,,3,4,5,5,5,,,,,,,,,,,,1,4,8,2,3,1,2,4,2,1,2,2,1,1,1,1,,1,2,1,9,3,1,2,3,,0.2183088422315401
170,2024-04-29T20:34:00Z,2024-04-29T20:43:17Z,1,1,1,,2,3,3,2,6,2,1,,2,2,,,1,2,2,2,1,3,3,3,2,3,5,4,3,5,1,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,7,3,6,2,7,6,2,2,2,2,2,,3,,3,5,5,4,4,,,,,,,,,,,,1,3,7,1,3,1,2,3,2,1,2,2,1,1,1,3,99,9,9,1,4,1,2,1,2,,0.4313411474560542
178,2024-04-29T20:53:02Z,2024-04-29T21:00:36Z,2,1,1,,1,3,2,2,6,2,1,,5,2,,,3,2,2,3,1,2,2,2,2,2,5,5,5,5,99,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,,3,,3,6,5,5,5,,,,,,,,,,,,1,3,5,1,3,1,1,6,1,4,1,3,4,2,2,1,,1,1,1,9,2,2,1,3,,0.7081595667030468
